time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.174,-226122.8,-0.030765533,598.0039,0.0027466714,0.9834334,9.092499,-0.013183804,-6.0123677,-226122.77,0,8
0.175,-226606.4,-0.030765533,598.0039,0.0027466714,0.9834334,9.092499,-0.013183804,-6.0120344,-226606.38,0,8
0.176,-226648.84,-0.030765533,598.0039,0.0025940835,0.9834334,9.092499,-0.013183804,-5.534524,-226648.81,0,8
0.177,-225448.97,-0.030765533,598.0039,0.0030518472,0.9834334,9.092499,-0.013183804,-5.8927402,-225448.94,0,8
0.178,-225884.33,-0.030765533,598.0039,0.00320445,0.9834334,9.092499,-0.013183804,-5.8530865,-225884.3,0,8
0.179,-227190.97,-0.030765533,598.0039,0.0030518472,0.9834334,9.092499,-0.013183804,-5.573511,-227190.94,0,8
0.18,-226479.14,-0.030765533,598.0039,0.0030518621,0.9834334,9.092499,-0.013183804,-5.4152293,-226479.11,0,8
0.181,-226247.58,-0.030765533,598.0039,0.0030518621,0.9834334,9.092499,-0.013183804,-5.614497,-226247.55,0,8
0.182,-226341.62,-0.030765533,598.0039,0.0016785264,0.9834334,9.092499,-0.013183804,-5.6138315,-226341.6,0,9
0.183,-227627.5,-0.030765533,598.0039,0.0024414957,0.9834334,9.092499,-0.013183804,-5.0170264,-227627.47,0,9
0.184,-227389.36,-0.030765533,598.0039,0.002136305,0.9834334,9.092499,-0.013183804,-5.5745106,-227389.33,0,9
0.185,-227264.72,-0.030765533,598.0039,0.0013733506,0.9834334,9.092499,-0.013183804,-5.53519,-227264.69,0,9
0.186,-228664.19,-0.030765533,598.0039,0.0027466714,0.9834334,9.092499,-0.013183804,-5.136654,-228664.16,0,9
0.187,-227030.4,-0.030765533,598.0039,0.0025940835,0.9834334,9.092499,-0.013183804,-5.3755755,-227030.38,0,9
0.188,-228481.14,-0.030765533,598.0039,0.001983717,0.9834334,9.092499,-0.013183804,-4.897732,-228481.11,0,9
0.189,-228579.08,-0.030765533,598.0039,0.0030518472,0.9834334,9.092499,-0.013183804,-4.5795026,-228579.05,0,9
0.19,-228162.72,-0.030765533,598.0039,0.0027466714,0.9834334,9.092499,-0.013183804,-5.7734456,-228162.69,0,9
0.191,-230079.47,-0.030765533,598.0039,0.0019837022,0.9834334,9.092499,-0.013183804,-4.9777055,-230079.44,0,9
0.192,-228941.77,-0.030765533,598.0039,0.0028992593,0.9834334,9.092499,-0.013183804,-5.13732,-228941.73,0,9
0.193,-230772.97,-0.030765533,598.0039,0.0028992593,0.9834334,9.092499,-0.013183804,-4.7791038,-230772.94,0,9
0.194,-232095.86,-0.030765533,598.0039,0.0015259385,0.9834334,9.092499,-0.013183804,-3.981365,-232095.83,0,9
0.195,-230517.73,-0.030765533,598.0039,0.0028992593,0.9889504,8.080436,-0.0059416,-4.65881,-230517.7,0,9
0.196,-231529.45,-0.030765533,598.0039,0.0030518621,0.9889504,8.080436,-0.0059416,-4.897732,-231529.42,0,9
0.197,-231944.48,-0.030765533,598.0039,0.0015259385,0.9889504,8.080436,-0.0059416,-4.69913,-231944.45,0,9
0.198,-232442.17,-0.030765533,598.0039,0.0030518621,0.9889504,8.080436,-0.0059416,-4.7384505,-232442.14,0,9
0.199,-233102.62,-0.030765533,598.0039,0.0030518472,0.9889504,8.080436,-0.0059416,-4.9373856,-233102.6,0,9
0.2,-232544.52,-0.030765533,598.0039,0.002136305,0.9889504,8.080436,-0.0059416,-4.5788364,-232544.48,0,9
0.201,-234117.14,-0.030765533,598.0039,0.0024414808,0.9889504,8.080436,-0.0059416,-5.2152953,-234117.11,0,9
0.202,-234496.88,-0.030765533,598.0039,0.0025940835,0.9889504,8.080436,-0.0059416,-4.459875,-234496.84,0,10
0.203,-234815.03,-0.030765533,598.0039,0.0016785264,0.9889504,8.080436,-0.0059416,-4.3002605,-234815.0,0,10
0.204,-234748.64,-0.030765533,598.0039,0.0025940686,0.9889504,8.080436,-0.0059416,-4.6198225,-234748.61,0,10
0.205,-236758.55,-0.030765533,598.0039,0.0022889078,0.9889504,8.080436,-0.0059416,-4.3402476,-236758.52,0,10
0.206,-236357.55,-0.030765533,598.0039,0.002136305,0.9889504,8.080436,-0.0059416,-4.65881,-236357.52,0,10
0.207,-234874.31,-0.030765533,598.0039,0.0025940835,0.9889504,8.080436,-0.0059416,-5.097333,-234874.28,0,10
0.208,-236468.22,-0.030765533,598.0039,0.0027466714,0.9889504,8.080436,-0.0059416,-4.858744,-236468.19,0,10
0.209,-236766.44,-0.030765533,598.0039,0.0022888929,0.9889504,8.080436,-0.0059416,-4.818424,-236766.4,0,10
0.21,-237506.3,-0.030765533,598.0039,0.00320445,0.9889504,8.080436,-0.0059416,-4.6987967,-237506.27,0,10
0.211,-236634.81,-0.030765533,598.0039,0.0022889078,0.9889504,8.080436,-0.0059416,-4.8190904,-236634.78,0,10
